hhid,tipo,tcuerda,p16a07a,p16a07b
1372.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1372.0,agricola,cuerda/tarea de 40 varas por lado,2.0,cuerda
1374.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1380.0,agricola,cuerda/tarea de 40 varas por lado,1.0,cuerda
1382.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1382.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1382.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1383.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1383.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1384.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1384.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1384.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1385.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1385.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,4.0,cuerda
1386.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,4.0,cuerda
1388.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1388.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1389.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1389.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1389.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1390.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,18.0,cuerda
1390.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1390.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1392.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1392.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,4.0,cuerda
1392.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,cuerda
1395.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1395.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,2.0,cuerda
1395.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
1396.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,cuerda
