depto,mupio,sector,hhid,upm2,agreg3
guatemala,11.0,10.0,202.0,1111010.0,7020.4111328125
guatemala,11.0,10.0,203.0,1111010.0,9687.6806640625
guatemala,11.0,10.0,204.0,1111010.0,22533.509765625
guatemala,11.0,10.0,205.0,1111010.0,51992.02734375
guatemala,11.0,15.0,206.0,1111015.0,4168.5908203125
guatemala,11.0,15.0,207.0,1111015.0,8872.9296875
guatemala,11.0,15.0,208.0,1111015.0,10337.2509765625
guatemala,11.0,15.0,209.0,1111015.0,6521.2724609375
guatemala,11.0,15.0,210.0,1111015.0,6052.0234375
guatemala,11.0,24.0,211.0,1111024.0,34700.20703125
guatemala,11.0,24.0,212.0,1111024.0,14593.12890625
guatemala,11.0,24.0,213.0,1111024.0,74894.9609375
guatemala,11.0,24.0,214.0,1111024.0,7082.8056640625
guatemala,11.0,24.0,215.0,1111024.0,29087.646484375
guatemala,11.0,24.0,216.0,1111024.0,14094.3525390625
guatemala,11.0,24.0,217.0,1111024.0,20974.763671875
guatemala,11.0,24.0,218.0,1111024.0,16213.337890625
guatemala,11.0,24.0,219.0,1111024.0,9995.7568359375
guatemala,11.0,54.0,220.0,1111054.0,32182.125
guatemala,11.0,54.0,221.0,1111054.0,39464.1640625
guatemala,11.0,54.0,222.0,1111054.0,25809.779296875
guatemala,11.0,54.0,223.0,1111054.0,50815.54296875
guatemala,11.0,54.0,224.0,1111054.0,28137.23828125
guatemala,11.0,54.0,225.0,1111054.0,41414.65234375
guatemala,12.0,2.0,226.0,1121002.0,10236.021484375
guatemala,12.0,2.0,227.0,1121002.0,14592.619140625
guatemala,12.0,2.0,228.0,1121002.0,4132.224609375
guatemala,12.0,2.0,229.0,1121002.0,10757.5009765625
guatemala,12.0,2.0,230.0,1121002.0,47403.734375
guatemala,12.0,2.0,231.0,1121002.0,6736.587890625
guatemala,12.0,2.0,232.0,1121002.0,9266.0048828125
guatemala,12.0,2.0,233.0,1121002.0,23070.28515625
guatemala,12.0,2.0,234.0,1121002.0,18152.236328125
guatemala,12.0,2.0,235.0,1121002.0,30328.806640625
guatemala,12.0,2.0,236.0,1121002.0,5528.47998046875
guatemala,12.0,2.0,237.0,1121002.0,19237.087890625
guatemala,12.0,2.0,238.0,1121002.0,11748.1875
guatemala,12.0,24.0,239.0,1121024.0,17048.279296875
guatemala,12.0,24.0,240.0,1121024.0,52538.0625
guatemala,12.0,24.0,241.0,1121024.0,27187.95703125
guatemala,12.0,24.0,242.0,1121024.0,19087.138671875
guatemala,12.0,24.0,243.0,1121024.0,24360.8828125
