depto,mupio,sector,c02b01,c02b02a,c02b02b
1,18,137,NO,500,Metros
1,18,137,,10,Kilometr
1,19,13,SI,,
1,19,13,SI,,
1,19,13,SI,,
1,19,13,NO,3,Kilometr
1,19,13,NO,10,Kilometr
1,19,13,SI,,
1,19,13,SI,,
1,19,13,SI,,
1,19,13,SI,,
1,19,13,SI,,
1,19,13,SI,,
1,19,13,NO,14,Kilometr
1,19,13,SI,,
1,19,13,SI,,
1,19,13,SI,,
1,19,13,SI,,
1,19,13,NO,NS / NR,NS / NR
1,19,13,SI,,
1,19,13,SI,,
1,19,13,SI,,
1,19,13,SI,,
1,19,13,SI,,
1,19,13,NO,1,Kilometr
1,19,13,NO,1,Kilometr
1,19,13,,2,Kilometr
1,26,1,NO,3,Cuadras
1,26,1,SI,,
1,26,1,NO,1,Kilometr
1,26,1,SI,,
1,26,1,NO,30,Kilometr
1,26,1,NO,30,Kilometr
1,26,1,SI,,
1,26,1,NO,500,Cuadras
1,26,1,NO,500,Cuadras
1,26,1,NO,3,Cuadras
1,26,1,NO,1,Kilometr
1,26,1,NO,1,Kilometr
1,26,1,SI,,
1,26,1,NO,1,Kilometr
1,26,1,NO,30,Kilometr
1,26,1,NO,1,Kilometr
1,26,1,NO,1,Kilometr
1,26,1,NO,18,Kilometr
1,26,1,NO,1,Kilometr
1,26,1,NO,1,Kilometr
1,26,1,NO,1,Kilometr
1,26,1,NO,18,Kilometr
1,26,1,SI,1,Cuadras
1,26,1,SI,1,Cuadras
1,26,1,,30,Kilometr
1,26,19,SI,,
1,26,19,SI,,
1,26,19,SI,,
1,26,19,NO,4,Kilometr
1,26,19,NO,40,Kilometr
1,26,19,NO,40,Kilometr
1,26,19,NO,4,Kilometr
1,26,19,SI,,
1,26,19,SI,,
1,26,19,NO,4,Kilometr
1,26,19,SI,,
1,26,19,NO,4,Kilometr
1,26,19,SI,,
1,26,19,NO,4,Kilometr
1,26,19,NO,4,Kilometr
1,26,19,NO,4,Kilometr
1,26,19,NO,4,Kilometr
1,26,19,NO,40,Kilometr
1,26,19,SI,,
1,26,19,SI,,
1,26,19,NO,4,Kilometr
1,26,19,NO,18,Kilometr
1,26,19,SI,,
1,26,19,SI,1,Kilometr
1,26,19,,40,Kilometr
1,27,45,SI,,
1,27,45,SI,,
1,27,45,SI,,
1,27,45,NO,3,Kilometr
1,27,45,NO,25,Kilometr
1,27,45,NO,10,Kilometr
1,27,45,SI,,
1,27,45,SI,,
1,27,45,SI,,
1,27,45,NO,3,Kilometr
1,27,45,NO,3,Kilometr
1,27,45,NO,3,Kilometr
1,27,45,NO,3,Kilometr
1,27,45,NO,3,Kilometr
1,27,45,NO,3,Kilometr
1,27,45,NO,3,Kilometr
1,27,45,NO,3,Kilometr
1,27,45,NO,3,Kilometr
1,27,45,NO,3,Kilometr
