hhid,p10d01,p10d03,p10d04,p10d06,p10e05a
3821,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3822,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3823,no,missing,missing,missing,missing
3824,no,missing,missing,missing,missing
3825,no,missing,missing,missing,missing
3826,no,missing,missing,missing,missing
3827,no,missing,missing,missing,missing
3828,no,missing,missing,missing,missing
3829,missing,missing,missing,missing,missing
3830,no,missing,missing,missing,missing
3831,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como jornalero o peon,missing
3832,no,missing,missing,missing,missing
3833,no,missing,missing,missing,missing
3834,no,missing,missing,missing,missing
3835,no,missing,missing,missing,missing
3836,no,missing,missing,missing,missing
3837,no,missing,missing,missing,missing
3838,no,missing,missing,missing,missing
3839,no,missing,missing,missing,missing
3840,no,missing,missing,missing,missing
3841,no,missing,missing,missing,missing
3842,no,missing,missing,missing,missing
3843,no,missing,missing,missing,missing
3844,no,missing,missing,missing,missing
3845,no,missing,missing,missing,missing
3846,no,missing,missing,missing,missing
3847,no,missing,missing,missing,missing
3848,no,missing,missing,missing,missing
3849,no,missing,missing,missing,missing
3850,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como ayudante o trabajador familiar sin remuneracion,missing
3851,no,missing,missing,missing,missing
3852,no,missing,missing,missing,missing
3853,no,missing,missing,missing,missing
3854,missing,missing,missing,missing,missing
3855,no,missing,missing,missing,missing
3856,no,missing,missing,missing,missing
3857,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3858,no,missing,missing,missing,missing
3859,no,missing,missing,missing,missing
3860,no,missing,missing,missing,missing
3861,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como jornalero o peon,missing
3862,no,missing,missing,missing,missing
3863,no,missing,missing,missing,missing
3864,si, trabajadores no calificados, industria manufacturera,trabajador por su cuenta o en su finca,missing
3865,no,missing,missing,missing,missing
3866,no,missing,missing,missing,missing
3867,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3868,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3869,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3870,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3871,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3872,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3873,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3874,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3875,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3876,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3877,missing,missing,missing,missing,missing
3878,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3879,missing,missing,missing,missing,missing
3880,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3881,no,missing,missing,missing,missing
