hhid,batteries_cooking,batteries_home_business,batteries_household,batteries_other,candles_cooking,candles_home_business,candles_household,candles_other,charcoal_cooking,charcoal_home_business,charcoal_household,charcoal_other,electricity_cooking,electricity_home_business,electricity_household,electricity_other,kerosene_cooking,kerosene_home_business,kerosene_household,kerosene_other,other_energy_cooking,other_energy_home_business,other_energy_household,other_energy_other,propane_gas_cooking,propane_gas_home_business,propane_gas_household,propane_gas_other
3132,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,si,no,no,no,missing,missing,missing,missing
3133,missing,missing,missing,missing,no,no,si,missing,no,no,si,no,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
3134,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,missing
3135,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,si,no,no,no,no,no,si,missing
3136,no,no,si,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing
3137,no,no,si,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing
3138,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing
3139,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,no,no,si,no,no,no,si,missing
3140,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,no,no,si,no,no,no,si,missing
3141,no,no,si,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,no,no,si,no,no,no,si,missing
3142,missing,missing,missing,missing,no,no,si,missing,missing,missing,missing,missing,no,no,si,no,missing,missing,missing,missing,no,no,si,no,no,no,si,missing
