depto,mupio,sector,hhid,upm2,agreg3,consumption_per_capita_per_day
escuintla,1,17,1801,5011017.0,3582.1513671875,6.750545149274648
escuintla,1,17,1802,5011017.0,23213.33203125,43.74540042541263
escuintla,1,24,1803,5011024.0,5036.62109375,9.491485592872431
escuintla,1,24,1804,5011024.0,7167.7431640625,13.507573769948946
escuintla,1,24,1805,5011024.0,4211.86865234375,7.9372440151194805
escuintla,1,24,1806,5011024.0,14730.0166015625,27.758637736317645
escuintla,1,24,1807,5011024.0,6629.076171875,12.492458695668681
escuintla,1,24,1808,5011024.0,8399.171875,15.828194608990547
escuintla,1,24,1809,5011024.0,9289.4892578125,17.505992969191787
escuintla,1,24,1810,5011024.0,8534.869140625,16.08391538244125
escuintla,1,24,1811,5011024.0,9441.2587890625,17.792001841505794
escuintla,1,52,1812,5012052.0,8525.4580078125,16.066180152841927
escuintla,1,52,1813,5012052.0,4422.3662109375,8.333925541789545
escuintla,1,52,1814,5012052.0,8407.736328125,15.844334275233784
escuintla,1,52,1815,5012052.0,9600.6376953125,18.09235054042953
escuintla,1,52,1816,5012052.0,4631.44482421875,8.727933073584875
escuintla,1,52,1817,5012052.0,2168.0908203125,4.085755589311858
escuintla,1,52,1818,5012052.0,5407.66796875,10.190721450164348
escuintla,1,52,1819,5012052.0,8623.49609375,16.250932402992976
escuintla,1,52,1820,5012052.0,2850.118408203125,5.371032941709556
escuintla,1,52,1821,5012052.0,13004.173828125,24.506296233008577
escuintla,1,52,1822,5012052.0,3932.497314453125,7.41077021864096
escuintla,1,52,1823,5012052.0,5448.4453125,10.26756613701185
escuintla,1,62,1824,5012062.0,4577.3759765625,8.626040618504357
escuintla,1,62,1825,5012062.0,3339.99560546875,6.294203907636142
escuintla,1,62,1826,5012062.0,3595.417236328125,6.775544608928547
escuintla,1,62,1827,5012062.0,5527.53125,10.416603164496712
escuintla,1,62,1828,5012062.0,3580.751220703125,6.747906580691269
escuintla,1,62,1829,5012062.0,6121.86669921875,11.5366251491946
escuintla,1,62,1830,5012062.0,3593.6123046875,6.772143224876771
escuintla,1,62,1831,5012062.0,6196.158203125,11.676627092138853
escuintla,1,62,1832,5012062.0,7145.84130859375,13.466299840111981
escuintla,1,62,1833,5012062.0,3116.37353515625,5.8727893086199
escuintla,1,62,1834,5012062.0,13489.857421875,25.42156437547279
escuintla,1,62,1835,5012062.0,6901.3173828125,13.005495805926172
escuintla,1,69,1836,5012069.0,3444.224609375,6.4906229096856
escuintla,1,69,1837,5012069.0,4920.42333984375,9.272511545272563
escuintla,1,69,1838,5012069.0,4447.88916015625,8.382023403488532
escuintla,1,69,1839,5012069.0,8986.681640625,16.935353629354672
escuintla,1,69,1840,5012069.0,5442.7861328125,10.256901443068912
escuintla,1,69,1841,5012069.0,4720.970703125,8.896644114977757
escuintla,1,69,1842,5012069.0,5733.40869140625,10.804578104964182
escuintla,1,69,1843,5012069.0,4966.12353515625,9.358633319637983
escuintla,1,69,1844,5012069.0,14343.8828125,27.030970669927463
escuintla,1,69,1845,5012069.0,4958.96533203125,9.345143724020774
escuintla,1,69,1846,5012069.0,6184.298828125,11.65427816319269
escuintla,1,76,1847,5011076.0,3595.2763671875,6.775279141784238
escuintla,1,76,1848,5011076.0,3617.953857421875,6.818014751200871
escuintla,1,76,1849,5011076.0,6136.85302734375,11.564866804630029
escuintla,1,76,1850,5011076.0,2493.968994140625,4.699871270112117
escuintla,1,76,1851,5011076.0,4369.4375,8.234181668275616
escuintla,1,76,1852,5011076.0,1906.443603515625,3.592682804518812
escuintla,1,76,1853,5011076.0,5924.7587890625,11.16517634360333
escuintla,1,76,1854,5011076.0,2974.11962890625,5.604712580875347
escuintla,1,76,1855,5011076.0,10400.1533203125,19.599033472242816
escuintla,1,76,1856,5011076.0,4659.4453125,8.78069984443541
escuintla,1,82,1857,5012082.0,6136.90576171875,11.564966182278505
escuintla,1,82,1858,5012082.0,6740.71923828125,12.702849458963138
escuintla,1,82,1859,5012082.0,6388.13720703125,12.038410501252418
escuintla,1,82,1860,5012082.0,6901.6962890625,13.00620985273374
escuintla,1,82,1861,5012082.0,6396.78662109375,12.05471027592931
escuintla,1,82,1862,5012082.0,16655.849609375,31.387859769837924
escuintla,1,82,1863,5012082.0,5896.65087890625,11.112207136802196
escuintla,1,82,1864,5012082.0,8704.8447265625,16.404233467728194
escuintla,1,82,1865,5012082.0,9880.41796875,18.619594973765444
escuintla,1,82,1866,5012082.0,5999.912109375,11.306802374969436
escuintla,1,82,1867,5012082.0,20930.39453125,39.4432168806614
escuintla,1,82,1868,5012082.0,10948.939453125,20.633218013069538
escuintla,1,82,1869,5012082.0,5605.84375,10.56418265313726
escuintla,1,82,1870,5012082.0,12023.1787109375,22.657616165925987
escuintla,1,83,1871,5012083.0,7587.701171875,14.29898239620238
escuintla,1,83,1872,5012083.0,5431.091796875,10.234863529355941
escuintla,1,83,1873,5012083.0,10949.3212890625,20.633937580857577
escuintla,1,83,1874,5012083.0,5449.83154296875,10.270178480937991
escuintla,1,83,1875,5012083.0,4668.51708984375,8.797795560463522
escuintla,1,83,1876,5012083.0,7002.87158203125,13.196874152805707
escuintla,1,83,1877,5012083.0,6693.09375,12.61309948026493
escuintla,1,83,1878,5012083.0,10429.505859375,19.654348175580665
escuintla,1,83,1879,5012083.0,3337.656494140625,6.289795864811842
escuintla,1,83,1880,5012083.0,2026.243896484375,3.8184458177710505
escuintla,1,84,1881,5012084.0,4503.6845703125,8.487169556393228
escuintla,1,84,1882,5012084.0,3086.56103515625,5.81660781134812
